node5  | [12:47:50] [node5] PAXOS LEARN/DECIDE slot=699 value=transfer
node5  | [12:47:50] [node5] LEDGER append seq=699 -> /data/node5.log
node5  | [12:47:50] [node5] PAXOS LEARN/DECIDE slot=700 value=transfer
node3  | [12:47:49] [node3] PAXOS COMMIT slot=696 value=transfer (majority 3/5)
node3  | [12:47:49] [node3] LEDGER append seq=696 -> /data/node3.log
node3  | [12:47:49] [node3] PAXOS COMMIT slot=697 value=transfer (majority 3/5)
node3  | [12:47:49] [node3] LEDGER append seq=697 -> /data/node3.log
node3  | [12:47:49] [node3] PAXOS COMMIT slot=698 value=transfer (majority 3/5)
node3  | [12:47:49] [node3] LEDGER append seq=698 -> /data/node3.log
node3  | [12:47:50] [node3] PAXOS COMMIT slot=699 value=transfer (majority 3/5)
node5  | [12:47:50] [node5] LEDGER append seq=700 -> /data/node5.log
node5  | [12:47:50] [node5] PAXOS LEARN/DECIDE slot=701 value=transfer
node5  | [12:47:50] [node5] LEDGER append seq=701 -> /data/node5.log
node3  | [12:47:50] [node3] LEDGER append seq=699 -> /data/node3.log
node5  | [12:47:51] [node5] PAXOS LEARN/DECIDE slot=702 value=transfer
node5  | [12:47:51] [node5] LEDGER append seq=702 -> /data/node5.log
node5  | [12:47:51] [node5] PAXOS LEARN/DECIDE slot=703 value=transfer
node3  | [12:47:50] [node3] PAXOS COMMIT slot=700 value=transfer (majority 3/5)
node5  | [12:47:51] [node5] LEDGER append seq=703 -> /data/node5.log
node5  | [12:47:52] [node5] PAXOS LEARN/DECIDE slot=704 value=transfer
node5  | [12:47:52] [node5] LEDGER append seq=704 -> /data/node5.log
node5  | [12:47:52] [node5] PAXOS LEARN/DECIDE slot=705 value=transfer
node5  | [12:47:52] [node5] LEDGER append seq=705 -> /data/node5.log
node5  | [12:47:53] [node5] PAXOS LEARN/DECIDE slot=706 value=transfer
node5  | [12:47:53] [node5] LEDGER append seq=706 -> /data/node5.log
node5  | [12:47:53] [node5] PAXOS LEARN/DECIDE slot=707 value=transfer
node3  | [12:47:50] [node3] LEDGER append seq=700 -> /data/node3.log
node5  | [12:47:53] [node5] LEDGER append seq=707 -> /data/node5.log
node5  | [12:47:53] [node5] PAXOS LEARN/DECIDE slot=708 value=transfer
node5  | [12:47:53] [node5] LEDGER append seq=708 -> /data/node5.log
node5  | [12:47:54] [node5] PAXOS LEARN/DECIDE slot=709 value=transfer
node5  | [12:47:54] [node5] LEDGER append seq=709 -> /data/node5.log
