node3  | [12:24:29] [node3] PAXOS LEARN/DECIDE slot=206 value=transfer
node3  | [12:24:29] [node3] LEDGER append seq=206 -> /data/node3.log
node3  | [12:24:29] [node3] PAXOS LEARN/DECIDE slot=207 value=transfer
node3  | [12:24:29] [node3] LEDGER append seq=207 -> /data/node3.log
node3  | [12:24:29] [node3] PAXOS LEARN/DECIDE slot=208 value=transfer
node3  | [12:24:29] [node3] LEDGER append seq=208 -> /data/node3.log
node3  | [12:24:30] [node3] PAXOS LEARN/DECIDE slot=209 value=transfer
node3  | [12:24:30] [node3] LEDGER append seq=209 -> /data/node3.log
node3  | [12:24:30] [node3] PAXOS LEARN/DECIDE slot=210 value=transfer
node3  | [12:24:30] [node3] LEDGER append seq=210 -> /data/node3.log
node3  | [12:24:31] [node3] PAXOS LEARN/DECIDE slot=211 value=transfer
node3  | [12:24:31] [node3] LEDGER append seq=211 -> /data/node3.log
node3  | [12:24:31] [node3] PAXOS LEARN/DECIDE slot=212 value=transfer
node3  | [12:24:31] [node3] LEDGER append seq=212 -> /data/node3.log
node3  | [12:24:31] [node3] PAXOS LEARN/DECIDE slot=213 value=transfer
node3  | [12:24:31] [node3] LEDGER append seq=213 -> /data/node3.log
node3  | [12:24:32] [node3] PAXOS LEARN/DECIDE slot=214 value=transfer
node3  | [12:24:32] [node3] LEDGER append seq=214 -> /data/node3.log
node3  | [12:24:32] [node3] PAXOS LEARN/DECIDE slot=215 value=transfer
node3  | [12:24:32] [node3] LEDGER append seq=215 -> /data/node3.log
node3  | [12:24:32] [node3] PAXOS LEARN/DECIDE slot=216 value=transfer
node3  | [12:24:32] [node3] LEDGER append seq=216 -> /data/node3.log
node3  | [12:24:33] [node3] PAXOS LEARN/DECIDE slot=217 value=transfer
node3  | [12:24:33] [node3] LEDGER append seq=217 -> /data/node3.log
node3  | [12:24:33] [node3] PAXOS LEARN/DECIDE slot=218 value=transfer
node3  | [12:24:33] [node3] LEDGER append seq=218 -> /data/node3.log
node3  | [12:24:33] [node3] PAXOS LEARN/DECIDE slot=219 value=transfer
node3  | [12:24:33] [node3] LEDGER append seq=219 -> /data/node3.log
node3  | [12:24:34] [node3] PAXOS LEARN/DECIDE slot=220 value=transfer
node3  | [12:24:34] [node3] LEDGER append seq=220 -> /data/node3.log
node3  | [12:24:34] [node3] PAXOS LEARN/DECIDE slot=221 value=transfer
node3  | [12:24:34] [node3] LEDGER append seq=221 -> /data/node3.log
node3  | [12:24:34] [node3] PAXOS LEARN/DECIDE slot=222 value=transfer
node3  | [12:24:34] [node3] LEDGER append seq=222 -> /data/node3.log
node3  | [12:24:35] [node3] PAXOS LEARN/DECIDE slot=223 value=transfer
node3  | [12:24:35] [node3] LEDGER append seq=223 -> /data/node3.log
node3  | [12:24:35] [node3] PAXOS LEARN/DECIDE slot=224 value=transfer
node3  | [12:24:35] [node3] LEDGER append seq=224 -> /data/node3.log
node3  | [12:24:35] [node3] PAXOS LEARN/DECIDE slot=225 value=transfer
node3  | [12:24:35] [node3] LEDGER append seq=225 -> /data/node3.log
node3  | [12:24:36] [node3] PAXOS LEARN/DECIDE slot=226 value=transfer
node3  | [12:24:36] [node3] LEDGER append seq=226 -> /data/node3.log
node3  | [12:24:36] [node3] PAXOS LEARN/DECIDE slot=227 value=transfer
node3  | [12:24:36] [node3] LEDGER append seq=227 -> /data/node3.log
node3  | [12:24:37] [node3] PAXOS LEARN/DECIDE slot=228 value=transfer
node3  | [12:24:37] [node3] LEDGER append seq=228 -> /data/node3.log
node3  | [12:24:37] [node3] PAXOS LEARN/DECIDE slot=229 value=transfer
node3  | [12:24:37] [node3] LEDGER append seq=229 -> /data/node3.log
node3  | [12:24:37] [node3] PAXOS LEARN/DECIDE slot=230 value=transfer
node3  | [12:24:37] [node3] LEDGER append seq=230 -> /data/node3.log
node3  | [12:24:38] [node3] PAXOS LEARN/DECIDE slot=231 value=transfer
node3  | [12:24:38] [node3] LEDGER append seq=231 -> /data/node3.log
node2  | [12:24:29] [node2] PAXOS LEARN/DECIDE slot=206 value=transfer
node2  | [12:24:29] [node2] LEDGER append seq=206 -> /data/node2.log
node2  | [12:24:29] [node2] PAXOS LEARN/DECIDE slot=207 value=transfer
node2  | [12:24:29] [node2] LEDGER append seq=207 -> /data/node2.log
node2  | [12:24:29] [node2] PAXOS LEARN/DECIDE slot=208 value=transfer
