node2  | [13:17:44] [node2] PBFT COMMIT seq=68 value=transfer (quorum 3/5, Byzantine-safe)
node2  | [13:17:44] [node2] LEDGER append seq=68 -> /data/node2.log
node2  | [13:17:44] [node2] PBFT PREPARED seq=69 -> broadcasting COMMIT
node2  | [13:17:44] [node2] PBFT COMMIT seq=69 value=transfer (quorum 3/5, Byzantine-safe)
node2  | [13:17:44] [node2] LEDGER append seq=69 -> /data/node2.log
node2  | [13:17:45] [node2] PBFT PREPARED seq=70 -> broadcasting COMMIT
node2  | [13:17:45] [node2] PBFT COMMIT seq=70 value=transfer (quorum 3/5, Byzantine-safe)
node2  | [13:17:45] [node2] LEDGER append seq=70 -> /data/node2.log
node2  | [13:17:45] [node2] PBFT PREPARED seq=71 -> broadcasting COMMIT
node2  | [13:17:45] [node2] PBFT COMMIT seq=71 value=transfer (quorum 3/5, Byzantine-safe)
node2  | [13:17:45] [node2] LEDGER append seq=71 -> /data/node2.log
node2  | [13:17:45] [node2] PBFT PREPARED seq=72 -> broadcasting COMMIT
node2  | [13:17:45] [node2] PBFT COMMIT seq=72 value=transfer (quorum 3/5, Byzantine-safe)
node2  | [13:17:45] [node2] LEDGER append seq=72 -> /data/node2.log
node2  | [13:17:46] [node2] PBFT PREPARED seq=73 -> broadcasting COMMIT
node2  | [13:17:46] [node2] PBFT COMMIT seq=73 value=transfer (quorum 3/5, Byzantine-safe)
node2  | [13:17:46] [node2] LEDGER append seq=73 -> /data/node2.log
node2  | [13:17:46] [node2] PBFT PREPARED seq=74 -> broadcasting COMMIT
node2  | [13:17:46] [node2] PBFT COMMIT seq=74 value=transfer (quorum 3/5, Byzantine-safe)
node2  | [13:17:46] [node2] LEDGER append seq=74 -> /data/node2.log
node2  | [13:17:46] [node2] PBFT PREPARED seq=75 -> broadcasting COMMIT
node2  | [13:17:46] [node2] PBFT COMMIT seq=75 value=transfer (quorum 3/5, Byzantine-safe)
node2  | [13:17:46] [node2] LEDGER append seq=75 -> /data/node2.log
